Accident_ID,Accident_Date,Year,Month,Day_of_Week,Time_of_Day,Province,District,Road_Type,Vehicle_Type,Weather,Cause_of_Accident,Severity,Deaths,Injuries,Vehicles_Involved
201,04/10/2024,2024,April,Wednesday,Night,Gandaki,Syangja,Urban Road,Bus,Foggy,Drunk Driving,Minor,0,1,4
202,10/25/2020,2020,October,Sunday,Night,Madhesh,Dhanusha,Rural Road,Motorcycle,Clear,Drunk Driving,Minor,0,2,4
203,12/21/2023,2023,December,Thursday,Night,Karnali,Jajarkot,Urban Road,Truck,Clear,Over-speeding,Minor,0,0,1
204,07/09/2023,2023,July,Sunday,Evening,Gandaki,Kaski,Urban Road,Truck,Clear,Careless Driving,Serious,0,3,3
205,02/21/2023,2023,February,Tuesday,Morning,Karnali,Surkhet,Highway,Motorcycle,Clear,Over-speeding,Minor,0,0,3
206,10/31/2021,2021,October,Sunday,Afternoon,Karnali,Jajarkot,Highway,Jeep,Rainy,Careless Driving,Minor,0,2,2
207,11/07/2024,2024,November,Thursday,Evening,Lumbini,Rupandehi,Urban Road,Motorcycle,Rainy,Careless Driving,Serious,0,6,1
208,04/30/2021,2021,April,Friday,Night,Karnali,Surkhet,Urban Road,Motorcycle,Foggy,Careless Driving,Minor,0,2,4
209,11/17/2023,2023,November,Friday,Early Morning,Koshi,Sunsari,Urban Road,Motorcycle,Clear,Over-speeding,Minor,0,2,1
210,04/22/2022,2022,April,Friday,Early Morning,Gandaki,Kaski,Highway,Motorcycle,Clear,Careless Driving,Fatal,4,1,3
211,05/04/2024,2024,May,Saturday,Evening,Bagmati,Chitwan,Urban Road,Car,Clear,Over-speeding,Minor,0,1,1
212,02/22/2023,2023,February,Wednesday,Night,Koshi,Morang,Rural Road,Motorcycle,Clear,Careless Driving,Minor,0,1,2
213,01/20/2020,2020,January,Monday,Night,Madhesh,Parsa,Highway,Jeep,Rainy,Careless Driving,Minor,0,2,3
214,09/02/2022,2022,September,Friday,Morning,Bagmati,Bhaktapur,Urban Road,Motorcycle,Clear,Drunk Driving,Minor,0,2,4
215,12/07/2023,2023,December,Thursday,Afternoon,Karnali,Dailekh,Highway,Motorcycle,Clear,Drunk Driving,Serious,0,6,1
216,01/15/2021,2021,January,Friday,Morning,Gandaki,Tanahun,Rural Road,Motorcycle,Clear,Careless Driving,Fatal,6,2,3
217,12/07/2023,2023,December,Thursday,Early Morning,Gandaki,Tanahun,Urban Road,Car,Clear,Poor Road Condition,Serious,0,3,3
218,08/29/2024,2024,August,Thursday,Afternoon,Madhesh,Bara,Urban Road,Truck,Rainy,Poor Road Condition,Minor,0,2,2
219,11/24/2020,2020,November,Tuesday,Evening,Sudurpashchim,Kanchanpur,Urban Road,Bus,Foggy,Over-speeding,Minor,0,0,2
220,03/23/2020,2020,March,Monday,Morning,Gandaki,Kaski,Rural Road,Truck,Clear,Careless Driving,Serious,0,4,3
221,12/16/2020,2020,December,Wednesday,Night,Koshi,Sunsari,Urban Road,Motorcycle,Foggy,Over-speeding,Minor,0,0,3
222,01/23/2020,2020,January,Thursday,Night,Sudurpashchim,Dadeldhura,Urban Road,Motorcycle,Clear,Over-speeding,Fatal,6,1,1
223,10/04/2020,2020,October,Sunday,Evening,Bagmati,Makwanpur,Rural Road,Motorcycle,Clear,Careless Driving,Minor,0,1,2
224,07/17/2022,2022,July,Sunday,Early Morning,Sudurpashchim,Dadeldhura,Urban Road,Bus,Rainy,Careless Driving,Minor,0,1,3
225,05/18/2020,2020,May,Monday,Night,Lumbini,Rupandehi,Rural Road,Car,Clear,Over-speeding,Minor,0,1,1
226,04/27/2021,2021,April,Tuesday,Evening,Karnali,Surkhet,Urban Road,Motorcycle,Clear,Mechanical Failure,Minor,0,2,2
227,06/06/2024,2024,June,Thursday,Afternoon,Bagmati,Chitwan,Urban Road,Motorcycle,Clear,Careless Driving,Serious,0,2,4
228,11/01/2020,2020,November,Sunday,Evening,Sudurpashchim,Dadeldhura,Highway,Motorcycle,Clear,Poor Road Condition,Serious,0,3,1
229,09/08/2023,2023,September,Friday,Night,Sudurpashchim,Kanchanpur,Highway,Motorcycle,Clear,Over-speeding,Serious,0,5,2
230,01/20/2021,2021,January,Wednesday,Evening,Gandaki,Syangja,Rural Road,Motorcycle,Clear,Poor Road Condition,Minor,0,1,2
231,07/19/2023,2023,July,Wednesday,Morning,Madhesh,Dhanusha,Rural Road,Motorcycle,Clear,Over-speeding,Minor,0,2,1
232,07/03/2021,2021,July,Saturday,Early Morning,Lumbini,Rupandehi,Highway,Truck,Clear,Poor Road Condition,Serious,0,2,1
233,01/02/2024,2024,January,Tuesday,Early Morning,Sudurpashchim,Dadeldhura,Urban Road,Jeep,Clear,Careless Driving,Minor,0,2,3
234,10/12/2024,2024,October,Saturday,Night,Lumbini,Banke,Urban Road,Motorcycle,Rainy,Mechanical Failure,Serious,0,4,3
235,10/05/2024,2024,October,Saturday,Night,Bagmati,Kathmandu,Highway,Truck,Rainy,Careless Driving,Minor,0,2,3
236,03/04/2020,2020,March,Wednesday,Early Morning,Koshi,Morang,Rural Road,Motorcycle,Clear,Drunk Driving,Fatal,6,4,1
237,09/30/2021,2021,September,Thursday,Evening,Karnali,Dailekh,Rural Road,Motorcycle,Clear,Careless Driving,Serious,0,5,2
238,06/21/2024,2024,June,Friday,Early Morning,Sudurpashchim,Kailali,Highway,Bus,Clear,Poor Road Condition,Fatal,3,2,3
239,07/01/2024,2024,July,Monday,Morning,Madhesh,Dhanusha,Urban Road,Motorcycle,Clear,Over-speeding,Minor,0,1,3
240,06/19/2022,2022,June,Sunday,Night,Lumbini,Banke,Highway,Motorcycle,Clear,Drunk Driving,Minor,0,1,1
241,05/03/2020,2020,May,Sunday,Morning,Karnali,Jajarkot,Urban Road,Motorcycle,Clear,Careless Driving,Minor,0,1,1
242,04/11/2021,2021,April,Sunday,Afternoon,Sudurpashchim,Kanchanpur,Highway,Motorcycle,Clear,Over-speeding,Fatal,2,2,3
243,09/11/2022,2022,September,Sunday,Afternoon,Bagmati,Lalitpur,Rural Road,Motorcycle,Foggy,Drunk Driving,Serious,0,6,4
244,11/13/2021,2021,November,Saturday,Evening,Gandaki,Syangja,Highway,Motorcycle,Rainy,Careless Driving,Serious,0,2,3
245,12/15/2024,2024,December,Sunday,Night,Bagmati,Chitwan,Urban Road,Motorcycle,Clear,Over-speeding,Minor,0,1,2
246,04/16/2023,2023,April,Sunday,Evening,Madhesh,Dhanusha,Highway,Motorcycle,Clear,Mechanical Failure,Minor,0,1,4
247,12/11/2023,2023,December,Monday,Morning,Madhesh,Dhanusha,Highway,Motorcycle,Foggy,Over-speeding,Fatal,1,4,3
248,05/16/2022,2022,May,Monday,Early Morning,Karnali,Dailekh,Urban Road,Car,Foggy,Over-speeding,Minor,0,0,4
249,02/23/2021,2021,February,Tuesday,Evening,Sudurpashchim,Kanchanpur,Highway,Truck,Clear,Poor Road Condition,Minor,0,1,1
250,11/09/2024,2024,November,Saturday,Afternoon,Karnali,Dailekh,Rural Road,Truck,Rainy,Over-speeding,Fatal,2,4,1
251,06/29/2020,2020,June,Monday,Morning,Bagmati,Makwanpur,Urban Road,Motorcycle,Rainy,Careless Driving,Minor,0,1,4
252,01/26/2023,2023,January,Thursday,Early Morning,Lumbini,Rupandehi,Highway,Truck,Clear,Careless Driving,Minor,0,2,2
253,09/28/2023,2023,September,Thursday,Evening,Bagmati,Makwanpur,Rural Road,Motorcycle,Clear,Careless Driving,Serious,0,5,1
254,12/23/2020,2020,December,Wednesday,Morning,Gandaki,Syangja,Urban Road,Bus,Clear,Mechanical Failure,Minor,0,2,3
255,09/01/2020,2020,September,Tuesday,Morning,Madhesh,Dhanusha,Rural Road,Motorcycle,Clear,Over-speeding,Minor,0,0,1
256,11/14/2022,2022,November,Monday,Afternoon,Koshi,Jhapa,Urban Road,Motorcycle,Clear,Mechanical Failure,Minor,0,1,3
257,02/23/2022,2022,February,Wednesday,Early Morning,Gandaki,Kaski,Rural Road,Car,Foggy,Drunk Driving,Serious,0,4,3
258,01/18/2020,2020,January,Saturday,Afternoon,Koshi,Sunsari,Urban Road,Motorcycle,Clear,Over-speeding,Minor,0,0,1
259,05/01/2024,2024,May,Wednesday,Night,Gandaki,Kaski,Highway,Motorcycle,Rainy,Careless Driving,Minor,0,2,2
260,11/02/2024,2024,November,Saturday,Morning,Koshi,Sunsari,Highway,Car,Foggy,Careless Driving,Minor,0,1,2
261,11/09/2023,2023,November,Thursday,Evening,Sudurpashchim,Kailali,Highway,Motorcycle,Clear,Careless Driving,Minor,0,2,2
262,02/09/2022,2022,February,Wednesday,Afternoon,Lumbini,Banke,Highway,Bus,Rainy,Poor Road Condition,Minor,0,1,1
263,03/29/2023,2023,March,Wednesday,Early Morning,Sudurpashchim,Dadeldhura,Highway,Motorcycle,Clear,Careless Driving,Minor,0,2,3
264,07/15/2021,2021,July,Thursday,Evening,Madhesh,Dhanusha,Rural Road,Bus,Clear,Drunk Driving,Minor,0,2,3
265,07/24/2023,2023,July,Monday,Night,Gandaki,Syangja,Rural Road,Motorcycle,Rainy,Careless Driving,Serious,0,5,4
266,05/24/2023,2023,May,Wednesday,Evening,Koshi,Morang,Highway,Car,Clear,Careless Driving,Minor,0,1,1
267,05/12/2021,2021,May,Wednesday,Night,Madhesh,Parsa,Urban Road,Truck,Rainy,Drunk Driving,Minor,0,2,4
268,09/29/2021,2021,September,Wednesday,Afternoon,Karnali,Surkhet,Highway,Bus,Foggy,Careless Driving,Serious,0,5,4
269,10/11/2022,2022,October,Tuesday,Morning,Madhesh,Parsa,Urban Road,Motorcycle,Clear,Over-speeding,Serious,0,2,2
270,09/01/2021,2021,September,Wednesday,Night,Sudurpashchim,Dadeldhura,Highway,Motorcycle,Clear,Over-speeding,Serious,0,3,2
271,06/05/2022,2022,June,Sunday,Evening,Karnali,Surkhet,Urban Road,Motorcycle,Rainy,Poor Road Condition,Minor,0,2,3
272,03/22/2022,2022,March,Tuesday,Evening,Gandaki,Kaski,Highway,Motorcycle,Foggy,Careless Driving,Fatal,1,4,3
273,04/22/2020,2020,April,Wednesday,Morning,Lumbini,Rupandehi,Highway,Truck,Clear,Over-speeding,Minor,0,1,3
274,07/28/2020,2020,July,Tuesday,Afternoon,Karnali,Surkhet,Urban Road,Car,Clear,Careless Driving,Minor,0,1,4
275,07/06/2023,2023,July,Thursday,Morning,Karnali,Jajarkot,Highway,Car,Clear,Over-speeding,Fatal,1,1,1
276,09/02/2022,2022,September,Friday,Early Morning,Bagmati,Kathmandu,Highway,Motorcycle,Rainy,Over-speeding,Minor,0,2,3
277,12/16/2022,2022,December,Friday,Night,Lumbini,Rupandehi,Rural Road,Motorcycle,Clear,Over-speeding,Serious,0,6,1
278,08/21/2022,2022,August,Sunday,Afternoon,Sudurpashchim,Kanchanpur,Urban Road,Bus,Clear,Careless Driving,Serious,0,4,3
279,07/28/2021,2021,July,Wednesday,Early Morning,Lumbini,Dang,Highway,Car,Clear,Over-speeding,Minor,0,0,2
280,01/10/2024,2024,January,Wednesday,Early Morning,Karnali,Jajarkot,Highway,Motorcycle,Clear,Drunk Driving,Minor,0,2,4
281,03/23/2024,2024,March,Saturday,Night,Karnali,Jajarkot,Highway,Car,Rainy,Mechanical Failure,Serious,0,4,4
282,02/17/2024,2024,February,Saturday,Morning,Madhesh,Bara,Urban Road,Car,Clear,Over-speeding,Fatal,2,2,3
283,10/06/2024,2024,October,Sunday,Evening,Karnali,Jajarkot,Rural Road,Bus,Clear,Poor Road Condition,Minor,0,0,2
284,10/27/2020,2020,October,Tuesday,Morning,Bagmati,Chitwan,Rural Road,Car,Clear,Mechanical Failure,Fatal,6,2,3
285,06/18/2023,2023,June,Sunday,Afternoon,Bagmati,Lalitpur,Rural Road,Truck,Rainy,Over-speeding,Minor,0,2,4
286,05/11/2023,2023,May,Thursday,Evening,Bagmati,Kathmandu,Highway,Motorcycle,Clear,Careless Driving,Fatal,2,1,3
287,08/05/2020,2020,August,Wednesday,Early Morning,Bagmati,Chitwan,Urban Road,Motorcycle,Clear,Drunk Driving,Minor,0,0,4
288,05/01/2024,2024,May,Wednesday,Afternoon,Madhesh,Bara,Highway,Truck,Clear,Over-speeding,Minor,0,2,3
289,08/01/2021,2021,August,Sunday,Afternoon,Lumbini,Dang,Highway,Motorcycle,Clear,Drunk Driving,Serious,0,4,3
290,03/22/2021,2021,March,Monday,Morning,Lumbini,Dang,Urban Road,Car,Clear,Drunk Driving,Minor,0,1,1
291,12/06/2021,2021,December,Monday,Night,Lumbini,Dang,Highway,Motorcycle,Clear,Drunk Driving,Fatal,5,4,2
292,12/09/2020,2020,December,Wednesday,Early Morning,Karnali,Dailekh,Urban Road,Car,Clear,Poor Road Condition,Serious,0,6,4
293,11/22/2022,2022,November,Tuesday,Afternoon,Lumbini,Banke,Highway,Car,Clear,Mechanical Failure,Serious,0,5,4
294,08/28/2020,2020,August,Friday,Early Morning,Lumbini,Dang,Highway,Motorcycle,Clear,Drunk Driving,Minor,0,0,4
295,01/29/2020,2020,January,Wednesday,Early Morning,Madhesh,Bara,Highway,Motorcycle,Clear,Careless Driving,Fatal,4,3,4
296,02/26/2023,2023,February,Sunday,Evening,Madhesh,Parsa,Highway,Car,Rainy,Poor Road Condition,Minor,0,0,2
297,08/03/2023,2023,August,Thursday,Morning,Madhesh,Parsa,Urban Road,Motorcycle,Rainy,Over-speeding,Serious,0,4,1
298,11/23/2022,2022,November,Wednesday,Evening,Madhesh,Parsa,Urban Road,Car,Clear,Over-speeding,Minor,0,1,1
299,03/11/2022,2022,March,Friday,Early Morning,Lumbini,Rupandehi,Highway,Car,Rainy,Careless Driving,Minor,0,2,2
300,10/01/2023,2023,October,Sunday,Morning,Lumbini,Banke,Urban Road,Truck,Clear,Drunk Driving,Serious,0,3,3
301,04/07/2024,2024,April,Sunday,Morning,Bagmati,Lalitpur,Highway,Motorcycle,Rainy,Over-speeding,Minor,0,1,3
302,05/02/2020,2020,May,Saturday,Night,Karnali,Dailekh,Urban Road,Truck,Clear,Drunk Driving,Minor,0,1,3
303,03/28/2021,2021,March,Sunday,Night,Sudurpashchim,Kanchanpur,Highway,Jeep,Clear,Drunk Driving,Fatal,3,1,2
304,09/17/2023,2023,September,Sunday,Night,Karnali,Dailekh,Highway,Motorcycle,Clear,Over-speeding,Serious,0,3,2
305,12/25/2022,2022,December,Sunday,Morning,Lumbini,Banke,Urban Road,Motorcycle,Clear,Poor Road Condition,Minor,0,1,2
306,11/07/2020,2020,November,Saturday,Evening,Bagmati,Kathmandu,Urban Road,Motorcycle,Rainy,Careless Driving,Minor,0,1,3
307,10/17/2023,2023,October,Tuesday,Night,Bagmati,Bhaktapur,Urban Road,Car,Clear,Careless Driving,Minor,0,0,3
308,09/20/2021,2021,September,Monday,Night,Sudurpashchim,Dadeldhura,Rural Road,Motorcycle,Rainy,Over-speeding,Minor,0,0,1
309,05/31/2024,2024,May,Friday,Afternoon,Karnali,Dailekh,Urban Road,Motorcycle,Rainy,Over-speeding,Serious,0,2,4
310,07/30/2020,2020,July,Thursday,Afternoon,Madhesh,Bara,Highway,Car,Clear,Drunk Driving,Minor,0,1,1
311,02/19/2024,2024,February,Monday,Evening,Koshi,Jhapa,Highway,Motorcycle,Clear,Over-speeding,Serious,0,4,1
312,06/05/2020,2020,June,Friday,Early Morning,Sudurpashchim,Kailali,Highway,Bus,Clear,Careless Driving,Minor,0,2,3
313,03/07/2021,2021,March,Sunday,Night,Koshi,Sunsari,Highway,Jeep,Rainy,Poor Road Condition,Minor,0,2,1
314,02/17/2021,2021,February,Wednesday,Early Morning,Sudurpashchim,Dadeldhura,Highway,Motorcycle,Clear,Careless Driving,Serious,0,3,4
315,08/19/2022,2022,August,Friday,Afternoon,Bagmati,Lalitpur,Highway,Motorcycle,Clear,Careless Driving,Serious,0,5,1
316,01/15/2021,2021,January,Friday,Night,Karnali,Dailekh,Highway,Jeep,Clear,Careless Driving,Minor,0,1,3
317,02/08/2020,2020,February,Saturday,Evening,Bagmati,Chitwan,Urban Road,Motorcycle,Rainy,Mechanical Failure,Minor,0,2,4
318,06/18/2020,2020,June,Thursday,Morning,Sudurpashchim,Dadeldhura,Urban Road,Car,Clear,Over-speeding,Minor,0,2,2
319,03/12/2022,2022,March,Saturday,Morning,Madhesh,Parsa,Highway,Motorcycle,Clear,Over-speeding,Serious,0,5,1
320,08/18/2021,2021,August,Wednesday,Afternoon,Madhesh,Dhanusha,Urban Road,Motorcycle,Clear,Drunk Driving,Minor,0,1,4
321,11/13/2020,2020,November,Friday,Afternoon,Bagmati,Lalitpur,Highway,Truck,Clear,Drunk Driving,Minor,0,1,2
322,07/18/2021,2021,July,Sunday,Early Morning,Gandaki,Kaski,Highway,Motorcycle,Foggy,Careless Driving,Minor,0,0,4
323,03/13/2021,2021,March,Saturday,Morning,Koshi,Morang,Urban Road,Motorcycle,Foggy,Careless Driving,Fatal,1,2,2
324,11/18/2023,2023,November,Saturday,Evening,Bagmati,Makwanpur,Rural Road,Car,Clear,Over-speeding,Minor,0,2,3
325,05/04/2021,2021,May,Tuesday,Early Morning,Lumbini,Rupandehi,Rural Road,Car,Clear,Careless Driving,Minor,0,0,3
326,11/23/2020,2020,November,Monday,Evening,Gandaki,Tanahun,Urban Road,Truck,Foggy,Over-speeding,Minor,0,2,4
327,04/18/2021,2021,April,Sunday,Morning,Karnali,Jajarkot,Highway,Truck,Clear,Over-speeding,Serious,0,5,2
328,10/10/2024,2024,October,Thursday,Night,Koshi,Sunsari,Urban Road,Car,Clear,Drunk Driving,Minor,0,1,2
329,04/11/2024,2024,April,Thursday,Night,Koshi,Jhapa,Highway,Car,Clear,Careless Driving,Minor,0,0,4
330,06/04/2021,2021,June,Friday,Afternoon,Lumbini,Banke,Highway,Car,Clear,Poor Road Condition,Serious,0,4,4
331,09/02/2021,2021,September,Thursday,Early Morning,Karnali,Surkhet,Highway,Motorcycle,Clear,Over-speeding,Minor,0,0,2
332,10/14/2023,2023,October,Saturday,Night,Koshi,Morang,Rural Road,Truck,Foggy,Over-speeding,Minor,0,1,2
333,12/27/2021,2021,December,Monday,Afternoon,Koshi,Jhapa,Urban Road,Car,Clear,Careless Driving,Minor,0,1,2
334,10/15/2021,2021,October,Friday,Afternoon,Sudurpashchim,Kanchanpur,Urban Road,Motorcycle,Rainy,Over-speeding,Minor,0,1,3
335,10/30/2021,2021,October,Saturday,Evening,Karnali,Jajarkot,Highway,Truck,Foggy,Careless Driving,Minor,0,0,3
336,07/02/2021,2021,July,Friday,Afternoon,Lumbini,Dang,Rural Road,Truck,Rainy,Careless Driving,Minor,0,1,4
337,08/21/2024,2024,August,Wednesday,Morning,Madhesh,Dhanusha,Highway,Truck,Clear,Over-speeding,Minor,0,1,3
338,07/28/2020,2020,July,Tuesday,Afternoon,Madhesh,Dhanusha,Highway,Bus,Rainy,Poor Road Condition,Minor,0,0,1
339,04/14/2021,2021,April,Wednesday,Morning,Lumbini,Rupandehi,Highway,Motorcycle,Clear,Careless Driving,Minor,0,0,3
340,09/26/2022,2022,September,Monday,Morning,Sudurpashchim,Dadeldhura,Highway,Truck,Clear,Over-speeding,Minor,0,0,2
341,06/13/2022,2022,June,Monday,Night,Bagmati,Chitwan,Highway,Car,Clear,Drunk Driving,Minor,0,2,4
342,11/09/2024,2024,November,Saturday,Night,Sudurpashchim,Kailali,Rural Road,Motorcycle,Clear,Careless Driving,Minor,0,1,4
343,09/20/2023,2023,September,Wednesday,Night,Sudurpashchim,Kanchanpur,Rural Road,Motorcycle,Clear,Drunk Driving,Minor,0,1,2
344,09/20/2020,2020,September,Sunday,Evening,Madhesh,Bara,Rural Road,Truck,Clear,Over-speeding,Serious,0,2,2
345,04/26/2022,2022,April,Tuesday,Afternoon,Madhesh,Dhanusha,Highway,Motorcycle,Clear,Poor Road Condition,Serious,0,6,2
346,09/12/2023,2023,September,Tuesday,Morning,Bagmati,Bhaktapur,Highway,Motorcycle,Clear,Over-speeding,Serious,0,6,3
347,02/15/2022,2022,February,Tuesday,Morning,Koshi,Sunsari,Highway,Motorcycle,Rainy,Over-speeding,Fatal,2,3,2
348,01/21/2022,2022,January,Friday,Morning,Koshi,Jhapa,Urban Road,Motorcycle,Clear,Careless Driving,Serious,0,4,2
349,04/13/2020,2020,April,Monday,Night,Gandaki,Kaski,Urban Road,Motorcycle,Clear,Over-speeding,Fatal,2,3,2
350,07/11/2024,2024,July,Thursday,Night,Madhesh,Bara,Highway,Bus,Clear,Over-speeding,Serious,0,6,4
351,02/12/2022,2022,February,Saturday,Evening,Karnali,Jajarkot,Highway,Jeep,Clear,Over-speeding,Serious,0,4,4
352,01/21/2021,2021,January,Thursday,Afternoon,Koshi,Sunsari,Highway,Motorcycle,Clear,Over-speeding,Minor,0,2,1
353,01/14/2021,2021,January,Thursday,Morning,Bagmati,Bhaktapur,Rural Road,Motorcycle,Rainy,Over-speeding,Minor,0,1,1
354,08/21/2023,2023,August,Monday,Early Morning,Madhesh,Parsa,Highway,Motorcycle,Clear,Over-speeding,Minor,0,1,1
355,01/19/2024,2024,January,Friday,Early Morning,Madhesh,Dhanusha,Highway,Motorcycle,Clear,Over-speeding,Fatal,4,3,2
356,04/24/2021,2021,April,Saturday,Night,Lumbini,Dang,Urban Road,Motorcycle,Clear,Mechanical Failure,Fatal,3,2,4
357,03/29/2023,2023,March,Wednesday,Afternoon,Bagmati,Makwanpur,Highway,Motorcycle,Clear,Poor Road Condition,Minor,0,0,1
358,10/30/2021,2021,October,Saturday,Night,Gandaki,Syangja,Rural Road,Motorcycle,Clear,Over-speeding,Minor,0,1,4
359,08/22/2020,2020,August,Saturday,Morning,Bagmati,Bhaktapur,Highway,Motorcycle,Rainy,Careless Driving,Fatal,3,1,2
360,07/28/2021,2021,July,Wednesday,Morning,Madhesh,Dhanusha,Urban Road,Motorcycle,Rainy,Drunk Driving,Serious,0,2,4
361,12/13/2020,2020,December,Sunday,Morning,Karnali,Jajarkot,Highway,Motorcycle,Rainy,Over-speeding,Minor,0,2,1
362,10/05/2023,2023,October,Thursday,Night,Madhesh,Bara,Rural Road,Motorcycle,Rainy,Poor Road Condition,Minor,0,1,3
363,11/15/2023,2023,November,Wednesday,Night,Koshi,Sunsari,Urban Road,Car,Clear,Poor Road Condition,Fatal,4,1,2
364,04/16/2024,2024,April,Tuesday,Morning,Karnali,Surkhet,Highway,Truck,Clear,Mechanical Failure,Fatal,4,2,4
365,06/02/2020,2020,June,Tuesday,Afternoon,Madhesh,Dhanusha,Rural Road,Motorcycle,Clear,Over-speeding,Minor,0,1,2
366,04/28/2022,2022,April,Thursday,Early Morning,Gandaki,Kaski,Urban Road,Truck,Foggy,Poor Road Condition,Minor,0,0,2
367,08/16/2024,2024,August,Friday,Morning,Bagmati,Bhaktapur,Urban Road,Car,Clear,Drunk Driving,Minor,0,0,4
368,07/13/2024,2024,July,Saturday,Early Morning,Sudurpashchim,Kanchanpur,Rural Road,Car,Clear,Over-speeding,Minor,0,1,2
369,11/11/2024,2024,November,Monday,Early Morning,Bagmati,Makwanpur,Highway,Car,Clear,Poor Road Condition,Minor,0,1,3
370,08/03/2020,2020,August,Monday,Morning,Lumbini,Dang,Highway,Truck,Clear,Mechanical Failure,Minor,0,2,2
371,08/12/2022,2022,August,Friday,Evening,Karnali,Surkhet,Urban Road,Motorcycle,Clear,Over-speeding,Minor,0,1,3
372,07/12/2021,2021,July,Monday,Afternoon,Koshi,Jhapa,Highway,Motorcycle,Clear,Drunk Driving,Minor,0,2,2
373,08/25/2020,2020,August,Tuesday,Evening,Sudurpashchim,Kanchanpur,Urban Road,Motorcycle,Clear,Over-speeding,Minor,0,2,4
374,04/20/2020,2020,April,Monday,Afternoon,Lumbini,Rupandehi,Highway,Bus,Rainy,Over-speeding,Fatal,2,3,2
375,07/24/2024,2024,July,Wednesday,Evening,Koshi,Morang,Rural Road,Bus,Foggy,Over-speeding,Minor,0,2,4
376,04/03/2020,2020,April,Friday,Morning,Madhesh,Bara,Highway,Motorcycle,Clear,Mechanical Failure,Serious,0,4,2
377,05/29/2024,2024,May,Wednesday,Morning,Madhesh,Dhanusha,Highway,Motorcycle,Clear,Over-speeding,Minor,0,1,4
378,12/09/2024,2024,December,Monday,Afternoon,Koshi,Jhapa,Rural Road,Motorcycle,Rainy,Mechanical Failure,Serious,0,3,1
379,02/22/2021,2021,February,Monday,Early Morning,Karnali,Dailekh,Highway,Car,Clear,Over-speeding,Minor,0,2,3
380,06/23/2023,2023,June,Friday,Night,Madhesh,Parsa,Rural Road,Car,Rainy,Over-speeding,Minor,0,2,2
381,05/27/2023,2023,May,Saturday,Night,Madhesh,Bara,Urban Road,Jeep,Rainy,Over-speeding,Minor,0,0,1
382,11/23/2021,2021,November,Tuesday,Early Morning,Koshi,Morang,Highway,Motorcycle,Clear,Over-speeding,Fatal,4,3,1
383,12/02/2021,2021,December,Thursday,Morning,Lumbini,Rupandehi,Rural Road,Motorcycle,Clear,Drunk Driving,Minor,0,0,1
384,11/21/2022,2022,November,Monday,Morning,Lumbini,Rupandehi,Highway,Motorcycle,Clear,Careless Driving,Minor,0,1,2
385,02/17/2024,2024,February,Saturday,Early Morning,Gandaki,Syangja,Urban Road,Car,Clear,Poor Road Condition,Serious,0,6,2
386,09/17/2024,2024,September,Tuesday,Morning,Bagmati,Bhaktapur,Highway,Motorcycle,Foggy,Careless Driving,Minor,0,1,3
387,06/13/2023,2023,June,Tuesday,Night,Lumbini,Rupandehi,Rural Road,Motorcycle,Foggy,Careless Driving,Fatal,3,1,2
388,05/31/2021,2021,May,Monday,Night,Bagmati,Kathmandu,Urban Road,Car,Clear,Poor Road Condition,Minor,0,2,3
389,06/27/2021,2021,June,Sunday,Afternoon,Lumbini,Dang,Urban Road,Car,Clear,Poor Road Condition,Minor,0,1,1
390,06/20/2021,2021,June,Sunday,Morning,Gandaki,Syangja,Rural Road,Motorcycle,Rainy,Poor Road Condition,Minor,0,2,2
391,02/03/2020,2020,February,Monday,Afternoon,Karnali,Surkhet,Urban Road,Motorcycle,Clear,Careless Driving,Serious,0,4,2
392,01/26/2023,2023,January,Thursday,Morning,Lumbini,Rupandehi,Rural Road,Car,Clear,Drunk Driving,Minor,0,0,2
393,07/13/2021,2021,July,Tuesday,Morning,Lumbini,Dang,Urban Road,Bus,Clear,Mechanical Failure,Minor,0,0,2
394,08/19/2022,2022,August,Friday,Morning,Gandaki,Syangja,Highway,Motorcycle,Rainy,Mechanical Failure,Minor,0,0,4
395,12/14/2020,2020,December,Monday,Early Morning,Bagmati,Chitwan,Highway,Motorcycle,Clear,Over-speeding,Minor,0,0,2
396,03/17/2022,2022,March,Thursday,Morning,Bagmati,Lalitpur,Urban Road,Car,Clear,Careless Driving,Minor,0,1,1
397,10/12/2023,2023,October,Thursday,Evening,Bagmati,Kathmandu,Highway,Truck,Clear,Careless Driving,Minor,0,2,1
398,05/20/2023,2023,May,Saturday,Afternoon,Karnali,Jajarkot,Highway,Motorcycle,Rainy,Careless Driving,Fatal,2,4,4
399,07/21/2022,2022,July,Thursday,Afternoon,Koshi,Morang,Highway,Truck,Clear,Poor Road Condition,Fatal,1,4,3
400,11/27/2021,2021,November,Saturday,Night,Gandaki,Kaski,Rural Road,Motorcycle,Rainy,Drunk Driving,Minor,0,2,4
401,05/08/2022,2022,May,Sunday,Afternoon,Bagmati,Bhaktapur,Highway,Car,Rainy,Over-speeding,Minor,0,1,4
402,11/14/2024,2024,November,Thursday,Afternoon,Bagmati,Makwanpur,Highway,Motorcycle,Foggy,Poor Road Condition,Serious,0,3,2
403,05/07/2023,2023,May,Sunday,Afternoon,Karnali,Dailekh,Highway,Truck,Rainy,Careless Driving,Fatal,5,2,3
